Subject ID,Date,Time,OffTime,OnTime,Total # of runs stroop off,Total # of runs stroop on,OffTime+OnTime,OnTime minus OffTime,Successful times X attempts (Off),Successful times X attempts (On),,Order of incorrect stroop off,Order of incorrect stroop on,,,Stroop off 1 time,Stroop off 2 time,Stroop off 3 time,Stroop off 4 time,Stroop off 5 time,,,Stroop on 1 time,Stroop on 2 time,Stroop on 3 time,Stroop on 4 time,Stroop on 5 time,,Practice stroop off 1 time,Practice stroop off 2 time,Practice stroop on 1 time,Practice stroop on 2 time,,Stroop off run 1 components,1,2,3,4,5,6,7,8,9,10,Stroop off run 2 components,1,2,3,4,5,6,7,8,9,10,Stroop off run 3 components,1,2,3,4,5,6,7,8,9,10,Stroop off run 4 components,1,2,3,4,5,6,7,8,9,10,Stroop off run 5 components,1,2,3,4,5,6,7,8,9,10,,Stroop on run 1 components,1,2,3,4,5,6,7,8,9,10,Stroop on run 2 components,1,2,3,4,5,6,7,8,9,10,Stroop on run 3 components,1,2,3,4,5,6,7,8,9,10,Stroop on run 4 components,1,2,3,4,5,6,7,8,9,10,Stroop on run 5 components,1,2,3,4,5,6,7,8,9,10,,Incorrect runs total time (stroop off),,,Incorrect runs total time (stroop on)
11b,02/12/2013,10:44,89.389,86.556,8,7,175.945,-2.833,715.111,605.894,,1 5 7,5 6,,,14.664,12.400,28.412,16.464,17.450,,,15.301,22.057,14.116,16.416,18.667,,15.567,16.401,18.986,19.440,,Stroop off run 1 components,1.370,1.200,2.176,1.648,1.361,1.166,1.600,1.263,1.343,1.536,Stroop off run 2 components,1.539,.895,1.343,1.248,1.199,1.361,1.743,1.040,1.056,.975,Stroop off run 3 components,6.352,2.152,5.875,2.615,1.552,1.136,1.679,3.477,2.535,1.040,Stroop off run 4 components,1.210,1.360,1.633,1.565,1.583,1.232,4.024,1.088,1.055,1.712,Stroop off run 5 components,1.543,1.311,1.504,3.199,1.471,1.728,1.360,2.439,1.441,1.454,,Stroop on run 1 components,1.313,1.168,1.247,2.216,2.000,1.231,1.456,1.807,1.551,1.311,Stroop on run 2 components,1.808,2.630,2.926,1.583,5.007,1.185,1.455,1.632,1.455,2.375,Stroop on run 3 components,2.888,1.263,1.152,1.264,1.471,1.088,.960,1.393,1.038,1.600,Stroop on run 4 components,1.543,.847,1.344,1.280,1.376,2.670,1.728,1.567,1.264,2.798,Stroop on run 5 components,2.351,1.743,1.231,1.792,1.264,3.966,1.424,1.999,1.600,1.296,,20.106,,,20.100
