Subject ID,Date,Time,OffTime,OnTime,Total # of runs stroop off,Total # of runs stroop on,OffTime+OnTime,OnTime minus OffTime,Successful times X attempts (Off),Successful times X attempts (On),,Order of incorrect stroop on,Stroop off 1 time,Stroop off 2 time,Stroop off 3 time,Stroop off 4 time,Stroop off 5 time,,,Stroop on 1 time,Stroop on 2 time,Stroop on 3 time,Stroop on 4 time,Stroop on 5 time,,Practice stroop off 1 time,Practice stroop off 2 time,Practice stroop on 1 time,Practice stroop on 2 time,,Stroop off run 1 components,1,2,3,4,5,6,7,8,9,10,Stroop off run 2 components,1,2,3,4,5,6,7,8,9,10,Stroop off run 3 components,1,2,3,4,5,6,7,8,9,10,Stroop off run 4 components,1,2,3,4,5,6,7,8,9,10,Stroop off run 5 components,1,2,3,4,5,6,7,8,9,10,,Stroop on run 1 components,1,2,3,4,5,6,7,8,9,10,Stroop on run 2 components,1,2,3,4,5,6,7,8,9,10,Stroop on run 3 components,1,2,3,4,5,6,7,8,9,10,Stroop on run 4 components,1,2,3,4,5,6,7,8,9,10,Stroop on run 5 components,1,2,3,4,5,6,7,8,9,10,,Incorrect runs total time (stroop off),,,Incorrect runs total time (stroop on)
12b,02/12/2013,13:49,68.428,66.226,5,5,134.654,-2.202,342.140,331.130,,,13.972,13.371,13.029,14.230,13.826,,,14.222,13.128,14.070,13.177,11.629,,12.703,13.820,14.917,15.750,,Stroop off run 1 components,1.145,1.583,1.440,1.104,1.393,1.374,1.344,1.920,1.391,1.279,Stroop off run 2 components,1.344,1.087,1.312,1.711,1.488,1.440,1.216,1.231,1.247,1.295,Stroop off run 3 components,1.369,1.168,1.503,1.232,1.327,1.247,1.216,1.279,1.264,1.423,Stroop off run 4 components,2.281,1.551,1.296,1.231,1.088,1.535,1.297,1.262,1.200,1.488,Stroop off run 5 components,1.511,1.710,1.327,1.600,1.104,1.231,1.264,1.167,1.408,1.504,,Stroop on run 1 components,1.234,1.296,1.263,1.919,1.136,1.152,1.310,1.536,1.680,1.696,Stroop on run 2 components,1.165,1.264,1.248,1.120,1.103,1.583,1.599,1.391,1.233,1.422,Stroop on run 3 components,1.296,1.297,1.167,1.071,2.680,1.455,1.328,1.375,1.216,1.185,Stroop on run 4 components,1.198,.991,1.263,1.056,1.456,1.455,1.311,1.185,1.310,1.952,Stroop on run 5 components,1.073,1.040,1.344,1.023,1.136,1.200,1.262,1.392,1.168,.991,,.000,,,.000
