Subject ID,Date,Time,OffTime,OnTime,Total # of runs stroop off,Total # of runs stroop on,OffTime+OnTime,OnTime minus OffTime,Successful times X attempts (Off),Successful times X attempts (On),,Order of incorrect stroop on,Stroop off 1 time,Stroop off 2 time,Stroop off 3 time,Stroop off 4 time,Stroop off 5 time,,,Stroop on 1 time,Stroop on 2 time,Stroop on 3 time,Stroop on 4 time,Stroop on 5 time,,Practice stroop off 1 time,Practice stroop off 2 time,Practice stroop on 1 time,Practice stroop on 2 time,,Stroop off run 1 components,1,2,3,4,5,6,7,8,9,10,Stroop off run 2 components,1,2,3,4,5,6,7,8,9,10,Stroop off run 3 components,1,2,3,4,5,6,7,8,9,10,Stroop off run 4 components,1,2,3,4,5,6,7,8,9,10,Stroop off run 5 components,1,2,3,4,5,6,7,8,9,10,,Stroop on run 1 components,1,2,3,4,5,6,7,8,9,10,Stroop on run 2 components,1,2,3,4,5,6,7,8,9,10,Stroop on run 3 components,1,2,3,4,5,6,7,8,9,10,Stroop on run 4 components,1,2,3,4,5,6,7,8,9,10,Stroop on run 5 components,1,2,3,4,5,6,7,8,9,10,,Incorrect runs total time (stroop off),,,Incorrect runs total time (stroop on)
22a,05/12/2013,14:31,64.227,73.945,5,5,138.172,9.718,321.134,369.726,,,12.212,12.287,12.472,13.730,13.527,,,17.033,15.166,14.594,14.896,12.256,,12.956,11.501,19.717,17.579,,Stroop off run 1 components,1.367,1.391,1.152,1.199,.975,1.169,1.087,1.471,1.120,1.279,Stroop off run 2 components,1.234,1.584,1.231,1.089,1.375,1.487,1.040,1.055,1.216,.975,Stroop off run 3 components,1.275,1.360,1.167,1.247,1.008,1.392,1.360,1.086,1.521,1.056,Stroop off run 4 components,1.510,1.439,1.280,1.071,1.857,1.550,1.584,1.184,1.023,1.232,Stroop off run 5 components,1.275,1.424,1.007,1.839,1.136,1.071,1.425,1.903,1.200,1.247,,Stroop on run 1 components,1.167,1.456,1.199,1.808,1.184,3.631,1.903,1.279,1.505,1.901,Stroop on run 2 components,1.395,1.455,1.215,2.112,1.855,1.312,1.584,1.040,1.439,1.760,Stroop on run 3 components,1.470,1.024,1.680,2.031,1.137,.974,1.426,1.310,2.231,1.312,Stroop on run 4 components,1.298,1.233,1.326,1.312,1.136,1.279,1.953,1.759,2.096,1.505,Stroop on run 5 components,1.155,1.440,1.055,1.458,1.006,1.376,1.646,.975,1.057,1.088,,.000,,,.000
