Subject ID,Date,Time,OffTime,OnTime,Total # of runs stroop off,Total # of runs stroop on,OffTime+OnTime,OnTime minus OffTime,Successful times X attempts (Off),Successful times X attempts (On),,Order of incorrect stroop off,Order of incorrect stroop on,Stroop off 1 time,Stroop off 2 time,Stroop off 3 time,Stroop off 4 time,Stroop off 5 time,,,Stroop on 1 time,Stroop on 2 time,Stroop on 3 time,Stroop on 4 time,Stroop on 5 time,,Practice stroop off 1 time,Practice stroop off 2 time,Practice stroop on 1 time,Practice stroop on 2 time,,Stroop off run 1 components,1,2,3,4,5,6,7,8,9,10,Stroop off run 2 components,1,2,3,4,5,6,7,8,9,10,Stroop off run 3 components,1,2,3,4,5,6,7,8,9,10,Stroop off run 4 components,1,2,3,4,5,6,7,8,9,10,Stroop off run 5 components,1,2,3,4,5,6,7,8,9,10,,Stroop on run 1 components,1,2,3,4,5,6,7,8,9,10,Stroop on run 2 components,1,2,3,4,5,6,7,8,9,10,Stroop on run 3 components,1,2,3,4,5,6,7,8,9,10,Stroop on run 4 components,1,2,3,4,5,6,7,8,9,10,Stroop on run 5 components,1,2,3,4,5,6,7,8,9,10,,Incorrect runs total time (stroop off),,,Incorrect runs total time (stroop on)
3b,27/11/2013,18:22,58.172,64.553,7,5,122.725,6.381,407.206,322.765,,2 6,,11.885,10.997,12.708,11.735,10.848,,,13.904,12.276,13.230,12.524,12.619,,24.264,12.428,19.134,15.811,,Stroop off run 1 components,.960,1.120,.975,1.504,.832,1.471,1.616,1.008,.943,1.455,Stroop off run 2 components,1.113,1.024,.991,.944,.944,1.263,1.072,1.073,1.103,1.471,Stroop off run 3 components,1.191,1.055,1.424,1.887,1.216,1.631,1.088,1.023,1.215,.976,Stroop off run 4 components,1.172,2.052,1.232,.944,.688,1.360,1.327,1.329,.879,.752,Stroop off run 5 components,.883,.927,1.152,1.152,1.408,.960,1.455,1.007,.944,.960,,Stroop on run 1 components,1.252,1.408,1.166,1.488,1.759,1.343,1.776,1.168,1.359,1.183,Stroop on run 2 components,1.180,.891,.992,1.263,1.247,1.424,1.184,1.838,1.136,1.119,Stroop on run 3 components,1.170,1.456,1.071,1.744,1.487,1.361,1.102,1.504,1.199,1.136,Stroop on run 4 components,1.312,1.168,1.295,1.264,.960,1.360,1.055,1.471,1.328,1.311,Stroop on run 5 components,1.144,.944,1.328,1.295,2.038,.960,.912,1.423,1.536,1.040,,5.810,,,.000
