Subject ID,Date,Time,OffTime,OnTime,Total # of runs stroop off,Total # of runs stroop on,OffTime+OnTime,OnTime minus OffTime,Successful times X attempts (Off),Successful times X attempts (On),,Order of incorrect stroop off,Order of incorrect stroop on,,,Stroop off 1 time,Stroop off 2 time,Stroop off 3 time,Stroop off 4 time,Stroop off 5 time,,,Stroop on 1 time,Stroop on 2 time,Stroop on 3 time,Stroop on 4 time,Stroop on 5 time,,Practice stroop off 1 time,Practice stroop off 2 time,Practice stroop on 1 time,Practice stroop on 2 time,,Stroop off run 1 components,1,2,3,4,5,6,7,8,9,10,Stroop off run 2 components,1,2,3,4,5,6,7,8,9,10,Stroop off run 3 components,1,2,3,4,5,6,7,8,9,10,Stroop off run 4 components,1,2,3,4,5,6,7,8,9,10,Stroop off run 5 components,1,2,3,4,5,6,7,8,9,10,,Stroop on run 1 components,1,2,3,4,5,6,7,8,9,10,Stroop on run 2 components,1,2,3,4,5,6,7,8,9,10,Stroop on run 3 components,1,2,3,4,5,6,7,8,9,10,Stroop on run 4 components,1,2,3,4,5,6,7,8,9,10,Stroop on run 5 components,1,2,3,4,5,6,7,8,9,10,,Incorrect runs total time (stroop off),,,Incorrect runs total time (stroop on)
14a,03/12/2013,12:53,82.085,97.507,8,6,179.592,15.422,656.679,585.043,,2 4 5,5,,,17.510,14.140,16.903,18.551,14.981,,,19.895,22.671,18.821,15.462,20.660,,15.998,14.012,20.197,26.239,,Stroop off run 1 components,1.863,3.260,1.664,1.007,1.168,1.103,2.294,1.391,1.983,1.775,Stroop off run 2 components,2.064,1.056,1.519,1.600,1.200,1.039,1.087,1.344,1.695,1.536,Stroop off run 3 components,2.133,1.424,1.407,1.584,2.015,1.184,1.791,1.312,2.406,1.647,Stroop off run 4 components,2.047,2.485,2.279,1.215,1.184,1.983,1.424,2.288,1.998,1.648,Stroop off run 5 components,1.530,1.327,1.488,1.151,2.176,1.695,1.280,1.759,1.328,1.248,,Stroop on run 1 components,2.542,2.152,3.300,1.744,1.887,1.360,1.711,1.712,1.728,1.759,Stroop on run 2 components,2.009,2.445,1.343,2.762,2.096,2.152,2.604,1.279,1.727,4.253,Stroop on run 3 components,1.788,1.376,1.360,3.024,1.376,1.281,4.106,1.424,1.455,1.631,Stroop on run 4 components,2.435,1.711,1.168,1.248,1.343,1.311,1.537,.878,1.472,2.358,Stroop on run 5 components,3.701,1.711,1.888,1.151,2.627,2.905,1.279,1.856,1.087,2.453,,15.180,,,8.763
