Subject ID,Date,Time,OffTime,OnTime,Total # of runs stroop off,Total # of runs stroop on,OffTime+OnTime,OnTime minus OffTime,Successful times X attempts (Off),Successful times X attempts (On),,Order of incorrect stroop off,Order of incorrect stroop on,,,Stroop off 1 time,Stroop off 2 time,Stroop off 3 time,Stroop off 4 time,Stroop off 5 time,,,Stroop on 1 time,Stroop on 2 time,Stroop on 3 time,Stroop on 4 time,Stroop on 5 time,,Practice stroop off 1 time,Practice stroop off 2 time,Practice stroop on 1 time,Practice stroop on 2 time,,Stroop off run 1 components,1,2,3,4,5,6,7,8,9,10,Stroop off run 2 components,1,2,3,4,5,6,7,8,9,10,Stroop off run 3 components,1,2,3,4,5,6,7,8,9,10,Stroop off run 4 components,1,2,3,4,5,6,7,8,9,10,Stroop off run 5 components,1,2,3,4,5,6,7,8,9,10,,Stroop on run 1 components,1,2,3,4,5,6,7,8,9,10,Stroop on run 2 components,1,2,3,4,5,6,7,8,9,10,Stroop on run 3 components,1,2,3,4,5,6,7,8,9,10,Stroop on run 4 components,1,2,3,4,5,6,7,8,9,10,Stroop on run 5 components,1,2,3,4,5,6,7,8,9,10,,Incorrect runs total time (stroop off),,,Incorrect runs total time (stroop on)
12b,05/12/2013,14:09,55.736,55.335,7,6,111.071,-.402,390.154,332.008,,1 3,5,,,11.299,13.035,11.092,9.488,10.823,,,11.109,10.891,9.871,10.124,13.339,,12.237,9.989,12.855,12.554,,Stroop off run 1 components,1.093,.864,1.087,1.105,.815,1.392,.944,1.344,1.647,1.008,Stroop off run 2 components,1.120,2.288,1.118,.960,1.424,1.423,1.312,1.008,1.248,1.135,Stroop off run 3 components,1.318,1.041,1.440,1.294,.944,.895,1.474,.877,.881,.927,Stroop off run 4 components,.834,1.103,.976,.754,.927,1.391,.913,.911,.879,.802,Stroop off run 5 components,1.275,.814,1.105,1.359,.943,.864,.976,1.104,1.170,1.214,,Stroop on run 1 components,1.143,.848,1.489,1.022,.912,1.487,1.247,.880,.977,1.103,Stroop on run 2 components,.879,.799,1.265,.961,1.021,1.008,1.328,1.455,1.424,.751,Stroop on run 3 components,.866,1.039,.895,.736,.672,1.071,.656,.751,1.696,1.488,Stroop on run 4 components,.798,.784,1.359,.896,.927,1.472,.799,1.519,.817,.752,Stroop on run 5 components,.864,1.088,.927,1.791,1.360,1.184,1.758,1.760,1.056,1.551,,10.937,,,.860
