Subject ID,Date,Time,OffTime,OnTime,Total # of runs stroop off,Total # of runs stroop on,OffTime+OnTime,OnTime minus OffTime,Successful times X attempts (Off),Successful times X attempts (On),,Order of incorrect stroop off,Order of incorrect stroop on,Stroop off 1 time,Stroop off 2 time,Stroop off 3 time,Stroop off 4 time,Stroop off 5 time,,,Stroop on 1 time,Stroop on 2 time,Stroop on 3 time,Stroop on 4 time,Stroop on 5 time,,Practice stroop off 1 time,Practice stroop off 2 time,Practice stroop on 1 time,Practice stroop on 2 time,,Stroop off run 1 components,1,2,3,4,5,6,7,8,9,10,Stroop off run 2 components,1,2,3,4,5,6,7,8,9,10,Stroop off run 3 components,1,2,3,4,5,6,7,8,9,10,Stroop off run 4 components,1,2,3,4,5,6,7,8,9,10,Stroop off run 5 components,1,2,3,4,5,6,7,8,9,10,,Stroop on run 1 components,1,2,3,4,5,6,7,8,9,10,Stroop on run 2 components,1,2,3,4,5,6,7,8,9,10,Stroop on run 3 components,1,2,3,4,5,6,7,8,9,10,Stroop on run 4 components,1,2,3,4,5,6,7,8,9,10,Stroop on run 5 components,1,2,3,4,5,6,7,8,9,10,,Incorrect runs total time (stroop off),,,Incorrect runs total time (stroop on)
19a,05/12/2013,11:40,59.612,63.028,6,5,122.641,3.416,357.675,315.140,,4,,12.435,12.266,10.538,12.592,11.782,,,13.721,11.974,11.461,12.747,13.125,,12.800,12.132,17.071,14.595,,Stroop off run 1 components,1.206,1.584,1.183,1.056,1.440,1.312,1.135,1.056,1.152,1.312,Stroop off run 2 components,1.214,1.056,1.056,1.071,1.359,1.072,1.584,1.647,1.296,.911,Stroop off run 3 components,1.069,1.040,1.200,1.087,1.264,1.056,.991,1.216,.912,.704,Stroop off run 4 components,1.347,1.008,.849,1.039,1.392,1.457,1.470,1.696,1.279,1.056,Stroop off run 5 components,1.113,1.040,.960,.960,1.663,1.200,1.024,1.279,1.008,1.536,,Stroop on run 1 components,1.455,1.072,1.166,1.200,1.567,1.472,1.056,2.047,1.392,1.296,Stroop on run 2 components,1.114,1.409,1.150,1.120,.960,1.135,1.648,1.215,1.056,1.168,Stroop on run 3 components,1.033,1.151,.975,1.392,.992,1.215,1.456,.991,1.104,1.152,Stroop on run 4 components,1.125,1.168,1.056,.943,1.168,1.567,2.121,1.183,1.168,1.248,Stroop on run 5 components,1.033,1.344,1.568,1.599,1.488,1.167,1.200,1.040,1.328,1.359,,1.183,,,.000
